,Film,Oscar Year,Film Studio/Producer(s),Award,Year of Release,Movie Time,Movie Genre,IMDB Rating,IMDB Votes,Movie Info,Genres,Critic Consensus,Content Rating,Directors,Authors,Actors,Original Release Date,Streaming Release Date,Production Company,Tomatometer Status,Tomatometer Rating,Tomatometer Count,Audience Status,Audience Rating,Audience Count,Tomatometer Top Critics Count,Tomatometer Fresh Critics Count,Tomatometer Rotten Critics Count,Film ID
544,The Post,2017,"Amy Pascal, Steven Spielberg, and Kristie Macosko Krieger",Nominee,2017,116,Drama,7.2,"142,630",,,,,,,,,,,,,,,,,,,,b440a217-27a1-470b-b04e-c101d6cdf8be
545,"Three Billboards Outside Ebbing, Missouri",2017,"Graham Broadbent, Pete Czernin, and Martin McDonagh",Nominee,2017,115,"Comedy,Crime,Drama",8.1,"463,268","After months have passed without a culprit in her daughter's murder case, Mildred Hayes makes a bold move, painting three signs leading into her town with a controversial message directed at William Willoughby, the town's revered chief of police. When his second-in-command, Officer Dixon -- an immature mother's boy with a penchant for violence -- gets involved, the battle is only exacerbated.","Comedy, Drama","Three Billboards Outside Ebbing, Missouri deftly balances black comedy against searing drama -- and draws unforgettable performances from its veteran cast along the way.",R,Martin McDonagh,Martin McDonagh,"Frances McDormand, Woody Harrelson, Sam Rockwell, Abbie Cornish, Lucas Hedges, Zeljko Ivanek, Caleb Landry Jones, Clarke Peters, Samara Weaving, John Hawkes, Peter Dinklage",2017-12-01,2018-02-13,Fox Searchlight Pictures,Certified-Fresh,90.0,405.0,Upright,87.0,22869.0,59.0,366.0,39.0,60b0d783-fb20-4683-b1a0-269a7fe8020e
546,Green Book,2018,"Jim Burke, Charles B. Wessler, Brian Currie, Peter Farrelly, and Nick Vallelonga",Winner,2018,130,"Biography,Comedy,Drama",8.2,"422,669","Dr. Don Shirley is a world-class African-American pianist who's about to embark on a concert tour in the Deep South in 1962. In need of a driver and protection, Shirley recruits Tony Lip, a tough-talking bouncer from an Italian-American neighborhood in the Bronx. Despite their differences, the two men soon develop an unexpected bond while confronting racism and danger in an era of segregation.",Drama,"Green Book takes audiences on an excessively smooth ride through bumpy subject matter, although Mahershala Ali and Viggo Mortensen's performances add necessary depth.",PG-13,Peter Farrelly,"Nick Vallelonga, Peter Farrelly, Brian Currie","Viggo Mortensen, Mahershala Ali, Linda Cardellini, Don Stark, Sebastian Maniscalco, Dimiter D. Marinov, Mike Hatton, P.J. Byrne, Joe Cortese, Von Lewis, Brian Stepanek, Geraldine Singer, Iqbal Theba, David Kallaway, Tom Virtue, Paul Sloan",2018-11-21,2019-02-19,Universal Pictures,Certified-Fresh,77.0,354.0,Upright,91.0,10093.0,49.0,274.0,80.0,4dd226cc-dc68-40e7-a5b3-3b1bfff594f1
547,Black Panther,2018,Kevin Feige,Nominee,2018,134,"Action,Adventure,Sci-Fi",7.3,"671,956","After the death of his father, T'Challa returns home to the African nation of Wakanda to take his rightful place as king. When a powerful enemy suddenly reappears, T'Challa's mettle as king -- and as Black Panther -- gets tested when he's drawn into a conflict that puts the fate of Wakanda and the entire world at risk. Faced with treachery and danger, the young king must rally his allies and release the full power of Black Panther to defeat his foes and secure the safety of his people.","Action & Adventure, Drama, Science Fiction & Fantasy",Black Panther elevates superhero cinema to thrilling new heights while telling one of the MCU's most absorbing stories -- and introducing some of its most fully realized characters.,PG-13,Ryan Coogler,"Joe Robert Cole, Ryan Coogler","Chadwick Boseman, Michael B. Jordan, Lupita Nyong'o, Danai Gurira, Martin Freeman, Daniel Kaluuya, Letitia Wright, Winston Duke, Sterling K. Brown, Angela Bassett, Forest Whitaker, Andy Serkis, Florence Kasumba, John Kani, David S. Lee, Isaach De Bankolé, Connie Chiume, Danny Sapani, Marlana Carter, Sope Aluko, Stan Lee, Ashton Tyler, Denzel Whitaker, Shaunette Renee Wilson, Bambadjan Bamba, Roland Kilumbu, Jermaine T. Holt, Jay Lynch",2018-02-16,2018-05-02,Marvel Studios,Certified-Fresh,96.0,512.0,Upright,79.0,88211.0,60.0,495.0,18.0,23eb3d70-301d-4e30-955f-57acf8f650dd
548,BlacKkKlansman,2018,"Sean McKittrick, Jason Blum, Raymond Mansfield, Jordan Peele, and Spike Lee",Nominee,2018,135,"Biography,Comedy,Crime",7.5,"240,028","Ron Stallworth is the first African-American detective to serve in the Colorado Springs Police Department. Determined to make a name for himself, Stallworth bravely sets out on a dangerous mission: infiltrate and expose the Ku Klux Klan. The detective soon recruits a more seasoned colleague, Flip Zimmerman, into the undercover investigation of a lifetime. Together, they team up to take down the extremist hate group as the organization aims to sanitize its rhetoric to appeal to the mainstream.","Comedy, Drama",BlacKkKlansman uses history to offer bitingly trenchant commentary on current events -- and brings out some of Spike Lee's hardest-hitting work in decades along the way.,R,Spike Lee,"Charlie Wachtel, David Rabinowitz, Kevin Willmott, Spike Lee","John David Washington, Adam Driver, Laura Harrier, Topher Grace, Jasper Pääkkönen, Ryan Eggold, Corey Hawkins, Paul Walter Hauser, Ashlie Atkinson, Alec Baldwin, Harry Belafonte, Isiah Whitlock Jr., Robert John Burke, Brian Tarantina, Arthur Nascarella, Ken Garito",2018-08-10,2018-10-23,Focus Features,Certified-Fresh,96.0,436.0,Upright,83.0,11251.0,63.0,418.0,18.0,9b92d8a7-dc53-4219-bb2d-3812ba4048a6
549,Bohemian Rhapsody,2018,Graham King,Nominee,2018,134,"Biography,Drama,Music",7.9,"482,597","Freddie Mercury -- the lead singer of Queen -- defies stereotypes and convention to become one of history's most beloved entertainers. The band's revolutionary sound and popular songs lead to Queen's meteoric rise in the 1970s. After leaving the group to pursue a solo career, Mercury reunites with Queen for the benefit concert Live Aid -- resulting in one of the greatest performances in rock 'n' roll history.",Drama,"Bohemian Rhapsody hits a handful of high notes, but as an in-depth look at a beloved band, it offers more of a medley than a true greatest hits collection.",PG-13,Bryan Singer,Anthony McCarten,"Rami Malek, Lucy Boynton, Gwilym Lee, Ben Hardy, Joseph Mazzello, Aidan Gillen, Tom Hollander, Allen Leech, Mike Myers",2018-11-02,2019-01-22,20th Century Fox,Fresh,60.0,403.0,Upright,85.0,23296.0,45.0,243.0,160.0,fecdf7d4-1af9-41ab-883c-9616cea28519
550,The Favourite,2018,"Ceci Dempsey, Ed Guiney, Lee Magiday, and Yorgos Lanthimos",Nominee,2018,119,"Biography,Comedy,Drama",7.5,"183,744","In the early 18th century, England is at war with the French. Nevertheless, duck racing and pineapple eating are thriving. A frail Queen Anne occupies the throne, and her close friend Lady Sarah governs the country in her stead while tending to Anne's ill health and mercurial temper. When a new servant, Abigail, arrives, her charm endears her to Sarah. Sarah takes Abigail under her wing, and Abigail sees a chance to return to her aristocratic roots.",Drama,"The Favourite sees Yorgos Lanthimos balancing a period setting against rich, timely subtext - and getting roundly stellar performances from his well-chosen stars.",R,Yorgos Lanthimos,"Deborah Davis, Tony McNamara","Olivia Colman, Emma Stone, Rachel Weisz, Nicholas Hoult, Joe Alwyn, James Smith, Mark Gatiss, Jenny Rainsford",2018-11-23,2019-02-12,"Fox Searchlight Pictures, Film4 and Waypoint",Certified-Fresh,93.0,405.0,Upright,69.0,7189.0,52.0,378.0,27.0,789c5253-e33e-4862-9cd6-6795271af717
551,Roma,2018,Gabriela Rodríguez and Alfonso Cuarón,Nominee,2018,135,Drama,7.7,"147,705","Cleo is one of two domestic workers who help Antonio and Sofía take care of their four children in 1970s Mexico City. Complications soon arise when Antonio suddenly runs away with his mistress and Cleo finds out that she's pregnant. When Sofía decides to take the kids on vacation, she invites Cleo for a much-needed getaway to clear her mind and bond with the family.",Drama,"Roma finds writer-director Alfonso Cuarón in complete, enthralling command of his visual craft - and telling the most powerfully personal story of his career.",R,Alfonso Cuarón,Alfonso Cuarón,"Yalitza Aparicio, Marina de Tavira, Diego Cortina Autrey, Carlos Peralta, Marco Graf, Nancy García García",2018-11-21,2018-12-15,Netflix,Certified-Fresh,96.0,387.0,Upright,72.0,5521.0,56.0,370.0,17.0,1dc73d5e-4ae5-428e-a4f3-d465ffc9262d
552,A Star Is Born,2018,"Bill Gerber, Bradley Cooper, and Lynette Howell Taylor",Nominee,2018,136,"Drama,Music,Romance",7.6,"354,157","Seasoned musician Jackson Maine discovers -- and falls in love with -- struggling artist Ally. She has just about given up on her dream to make it big as a singer until Jackson coaxes her into the spotlight. But even as Ally's career takes off, the personal side of their relationship is breaking down, as Jackson fights an ongoing battle with his own internal demons.",Drama,"With appealing leads, deft direction, and an affecting love story, A Star Is Born is a remake done right -- and a reminder that some stories can be just as effective in the retelling.",R,Bradley Cooper,"Will Fetters, Eric Roth, Bradley Cooper","Lady Gaga, Bradley Cooper, Sam Elliott, Andrew Dice Clay, Dave Chappelle, Rafi Gavron, Anthony Ramos, Alec Baldwin, Brandi Carlile, Ron Rifkin, Barry Shabaka Henley, Michael D. Roberts, Michael Harney, Rebecca Field, Marlon Williams",2018-10-05,2019-01-15,Warner Bros. Pictures,Certified-Fresh,90.0,517.0,Upright,79.0,20442.0,62.0,466.0,52.0,a8a00610-8b95-4d5f-b95e-128b6a2853ea
553,Vice,2018,"Dede Gardner, Jeremy Kleiner, Adam McKay, and Kevin Messick",Nominee,2018,132,"Biography,Comdey,Drama",7.2,"132,014","Gov. George W. Bush of Texas picks Dick Cheney, the CEO of Halliburton Co., to be his Republican running mate in the 2000 presidential election. No stranger to politics, Cheney's impressive résumé includes stints as White House chief of staff, House Minority Whip and defense secretary. When Bush wins by a narrow margin, Cheney begins to use his newfound power to help reshape the country and the world.",Drama,"Vice takes scattershot aim at its targets, but writer-director Adam McKay hits some satisfying bullseyes -- and Christian Bale's transformation is a sight to behold.",R,Adam McKay,Adam McKay,"Christian Bale, Amy Adams, Steve Carell, Sam Rockwell, Alison Pill, Lily Rabe, Tyler Perry, Justin Kirk, LisaGay Hamilton, Shea Whigham, Eddie Marsan, Jesse Plemons, Adam McKay, Vanessa Cloke, Tiffany Smith, Ronald Reagan, Abigail Marlowe, Bill Camp, Jimmy Carter, Fay Masterson, Bob Stephenson, Casey Sander, Don R. McManus, Jamie Bernadette, Barack Obama, Adam Bartley, Osama Bin Laden, John Hillner, Jillian Armenante, Osama Bin Laden, Scott Christopher, Tara Nicole Hughes, Richard Nixon, Jeff Bosley, Melody Hollis, Harvey B. Jackson, Tim Winters, Pilar Holland, Alex Knight, Brandon Sklenar, Roman Mitichyan, Violet Hicks, Matt Nolan, Brandon Firla, Mark Bramhall, Kevin Symons, Robert L. Hughes, Daniel Bruington, John Burke, Rocky Bonifield, Alina Zilbershmidt, Matt Champagne, Delpaneaux Wills, Nick Drago, Sabina Nogic, Kirk Bovill, Fabiana Rares, Christopher M. Campos, Treisa Gary, Damon O'Daniel, Joe Sabatino, David Fabrizio, William Goldman, Abraham Justice, Amir Malaklou, Edward Fletcher, Paul Perri, Rome Stephens, Stephen Adly Guirgis, Kyle S. More, Dustin Green, Andrea Wright, Vishesh Chachra, Al Wexo, Dayna Brand, Jeff Witzke, Shannon Mosley, Aidan Gail, Trent Walker, Chris Dougherty, Chet Grissom, Scott Subiono, Joey Brooks, Angela Leib, Holly Hawkins, Lucky Harmon, Melissa Schumacher, Omid Zader, Liz Burnette, Joseph Beck, Stewart J. Zully, Matthew Jacobs, Michael DiBacco, Stephen Friedrich, Allie Pratt, Grace Rowe, Todd Brotze, Scott Alan Smith, Calissa Hatfield",2018-12-25,2019-03-12,Annapurna Pictures,Fresh,65.0,359.0,Upright,60.0,5061.0,47.0,234.0,125.0,27048415-ff2e-427e-a4de-5d2898a0812d
554,Parasite,2019,Kwak Sin-ae and Bong Joon-ho,Winner,2019,132,"Comedy,Drama,Thriller",8.6,"651,517",,,,,,,,,,,,,,,,,,,,db1a7b9b-b141-4816-a78a-1ba660b98dba
555,1917,2019,"Sam Mendes, Pippa Harris, Jayne-Ann Tenggren, and Callum McDougall",Nominee,2019,119,"Action,Drama,War",8.3,"485,648",,,,,,,,,,,,,,,,,,,,e150fdb8-b54e-4411-9adf-ab4d2e3bcab0
556,Ford v Ferrari,2019,"Peter Chernin, Jenno Topping, and James Mangold",Nominee,2019,152,"Action,Biography,Drama",8.1,"331,665",,,,,,,,,,,,,,,,,,,,054dfed2-ce14-4c17-9bf2-fb228eaa78a3
557,The Irishman,2019,"Martin Scorsese, Robert De Niro, Jane Rosenthal, and Emma Tillinger Koskoff",Nominee,2019,209,"Biography,Crime,Drama",7.8,"349,303","In the 1950s, truck driver Frank Sheeran gets involved with Russell Bufalino and his Pennsylvania crime family. As Sheeran climbs the ranks to become a top hit man, he also goes to work for Jimmy Hoffa -- a powerful Teamster tied to organized crime.","Drama, Mystery & Suspense","An epic gangster drama that earns its extended runtime, The Irishman finds Martin Scorsese revisiting familiar themes to poignant, funny, and profound effect.",R,Martin Scorsese,Steven Zaillian,"Robert De Niro, Al Pacino, Joe Pesci, Jesse Plemons, Bobby Cannavale, Anna Paquin, Harvey Keitel, Ray Romano, Stephen Graham, Aleksa Palladino, Stephanie Kurtzuba, Jack Huston, Kathrine Narducci, Domenick Lombardozzi, Paul Herman, Gary Basaraba, Marin Ireland",2019-11-01,2019-11-27,Netflix,Certified-Fresh,96.0,439.0,,86.0,1057.0,53.0,421.0,19.0,cf8fb1fa-1a2b-48bd-a241-c7e9d487c09d
558,Jojo Rabbit,2019,"Carthew Neal, Taika Waititi, and Chelsea Winstanley",Nominee,2019,108,"Comedy,Drama,War",7.9,"335,856",,,,,,,,,,,,,,,,,,,,111025ab-00c2-490a-8921-f298fe1a6006
559,Joker,2019,"Todd Phillips, Bradley Cooper, and Emma Tillinger Koskoff",Nominee,2019,122,"Crime,Drama,Thriller",8.4,"1,056,051","Forever alone in a crowd, failed comedian Arthur Fleck seeks connection as he walks the streets of Gotham City. Arthur wears two masks -- the one he paints for his day job as a clown, and the guise he projects in a futile attempt to feel like he's part of the world around him. Isolated, bullied and disregarded by society, Fleck begins a slow descent into madness as he transforms into the criminal mastermind known as the Joker.","Action & Adventure, Drama, Mystery & Suspense",Joker gives its infamous central character a chillingly plausible origin story that serves as a brilliant showcase for its star -- and a dark evolution for comics-inspired cinema.,R,Todd Phillips,"Todd Phillips, Scott Silver","Joaquin Phoenix, Robert De Niro, Zazie Beetz, Bill Camp, Frances Conroy, Brett Cullen, Glenn Fleshler, Douglas Hodge, Marc Maron, Josh Pais, Shea Whigham, Bryan Callen, Jolie Chan, Mary Kate Malat, Dante Pereira-Olson, Sharon Washington, Elizabeth Bluhm, David Iacono, Leigh Gill, Chuck Taber, Adrienne Lovette, Tony D. Head",2019-10-04,2019-10-03,Warner Bros. Pictures,Fresh,68.0,574.0,,88.0,66303.0,56.0,393.0,182.0,9988cdef-854b-4e3d-8dc4-19e8e8717b9b
560,Little Women,2019,Amy Pascal,Nominee,2019,135,"Drama,Romance",7.8,"163,410",,,,,,,,,,,,,,,,,,,,6207f4ff-c6a8-4922-b48d-71b03a01bc96
561,Marriage Story,2019,Noah Baumbach and David Heyman,Nominee,2019,137,"Comedy,Drama,Romance",7.9,"270,304",A stage director and his actor wife struggle through a grueling divorce that pushes them to their limits.,Drama,"Observing a splintering union with compassion and expansive grace, the powerfully acted Marriage Story ranks among writer-director Noah Baumbach's best works.",R,Noah Baumbach,Noah Baumbach,"Scarlett Johansson, Adam Driver, Laura Dern, Alan Alda, Ray Liotta, Julie Hagerty, Merritt Wever, Azhy Robertson, Wallace Shawn, Martha Kelly, Mark O'Brien (IX), Mary Hollis Inboden, Kyle Bornheimer, Mickey Sumner, Albert Jones, Ayden Mayeri, Brooke Bloom, Roslyn Ruff, Hannah Dunne, Sandra Rosko, McKinley Belcher III, Amir Talai, Gideon Glick, George Todd McLachlan, Matthew Shear, Pilar Holland, Juan Alfonso, Sharmila Devar, Vinny Chhibber, Loretta Shenosky, Emily Cass McDonnell, Joey Courteau, Larissa Jewel, Alexandra Berardi, Sanai Elise",2019-11-06,2019-12-06,Netflix,Certified-Fresh,94.0,381.0,,85.0,184.0,48.0,359.0,22.0,4dfbadb9-b7f9-4c24-bbd8-5d55dce2c7c6
562,Once Upon a Time in Hollywood,2019,"David Heyman, Shannon McIntosh, and Quentin Tarantino",Nominee,2019,161,"Comedy,Drama",7.6,"628,233",,,,,,,,,,,,,,,,,,,,80060b63-3c4c-42c3-ab4f-4efee21776bd
563,Nomadland,2020,"Frances McDormand, Peter Spears, Mollye Asher, Dan Janvey, and Chloé Zhao",Nominee,2020,107,Drama,7.4,"123,041",,,,,,,,,,,,,,,,,,,,f04508ab-e957-49aa-908e-c1286123a493
564,The Father,2020,"David Parfitt, Jean-Louis Livi, and Philippe Carcassonne",Nominee,2020,97,Drama,8.3,"89,693",,,,,,,,,,,,,,,,,,,,73e858b2-7b6e-48b4-80d6-960a992961f5
565,Judas and the Black Messiah,2020,"Shaka King, Charles D. King, and Ryan Coogler",Nominee,2021,126,"Biography,Drama,History",7.5,"58,996",,,,,,,,,,,,,,,,,,,,cf55544c-fcaa-4b26-9773-52be27359d6f
566,Mank,2020,"Ceán Chaffin, Eric Roth, and Douglas Urbanski",Nominee,2020,131,"Biography,Comedy,Drama",6.9,"65,380",,,,,,,,,,,,,,,,,,,,47d4ae4f-e782-4cd9-9508-4a07302b1c1a
567,Minari,2020,Christina Oh,Nominee,2020,115,Drama,7.5,"57,976",,,,,,,,,,,,,,,,,,,,7262b3a8-214d-4205-985c-70e0860f3236
568,Promising Young Woman,2020,"Ben Browning, Ashley Fox, Emerald Fennell, and Josey McNamara",Nominee,2020,113,"Crime,Drama,Thriller",7.5,"122,269",,,,,,,,,,,,,,,,,,,,d64c669b-7a73-496a-bddb-19cb09264371
569,Sound of Metal,2020,Bert Hamelinck and Sacha Ben Harroche,Nominee,2019,120,"Drama,Music",7.8,"102,807",,,,,,,,,,,,,,,,,,,,647357e9-c067-46bd-aaeb-24d4344ec124
